Link da Foto,Nome,UF,Partido
http://www.camara.leg.br/internet/deputado/bandep/178957.jpg,ABEL MESQUITA JR.,RR,DEM
http://www.camara.leg.br/internet/deputado/bandep/178864.jpg,ADAIL CARNEIRO,CE,PP
http://www.camara.leg.br/internet/deputado/bandep/178914.jpg,ADALBERTO CAVALCANTI,PE,AVANTE
http://www.camara.leg.br/internet/deputado/bandep/178890.jpg,ADELMO CARNEIRO LEÃO,MG,PT
http://www.camara.leg.br/internet/deputado/bandep/178968.jpg,ADELSON BARRETO,SE,PR
http://www.camara.leg.br/internet/deputado/bandep/133374.jpg,ADEMIR CAMILO,MG,PODE
http://www.camara.leg.br/internet/deputado/bandep/141372.jpg,AELTON FREITAS,MG,PR
http://www.camara.leg.br/internet/deputado/bandep/160508.jpg,AFONSO FLORENCE,BA,PT
http://www.camara.leg.br/internet/deputado/bandep/136811.jpg,AFONSO HAMM,RS,PP
http://www.camara.leg.br/internet/deputado/bandep/178835.jpg,AFONSO MOTTA,RS,PDT
http://www.camara.leg.br/internet/deputado/bandep/160527.jpg,AGUINALDO RIBEIRO,PB,PP
http://www.camara.leg.br/internet/deputado/bandep/178836.jpg,ALAN RICK,AC,DEM
http://www.camara.leg.br/internet/deputado/bandep/160582.jpg,ALBERTO FILHO,MA,PMDB
http://www.camara.leg.br/internet/deputado/bandep/73579.jpg,ALBERTO FRAGA,DF,DEM
http://www.camara.leg.br/internet/deputado/bandep/160559.jpg,ALCEU MOREIRA,RS,PMDB
http://www.camara.leg.br/internet/deputado/bandep/160511.jpg,ALESSANDRO MOLON,RJ,REDE
http://www.camara.leg.br/internet/deputado/bandep/73458.jpg,ALEX CANZIANI,PR,PTB
http://www.camara.leg.br/internet/deputado/bandep/178972.jpg,ALEX MANENTE,SP,PPS
http://www.camara.leg.br/internet/deputado/bandep/160545.jpg,ALEXANDRE LEITE,SP,DEM
http://www.camara.leg.br/internet/deputado/bandep/178833.jpg,ALEXANDRE SERFIOTIS,RJ,PMDB
http://www.camara.leg.br/internet/deputado/bandep/178936.jpg,ALEXANDRE VALLE,RJ,PR
http://www.camara.leg.br/internet/deputado/bandep/141454.jpg,ALFREDO KAEFER,PR,PSL
